                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                0.58201,                0.35814,                0.94724,                0.97396,                0.94563,                0.98401,                0.88083,                0.49898,                0.27866,                0.88818,               0.007235,               0.007235,               0.007235
                    146,                0.57833,                0.35407,                 0.9453,                0.96382,                0.95113,                0.98435,                0.88155,                0.50283,                0.27897,                0.89304,              0.0072156,              0.0072156,              0.0072156
                    147,                 0.5876,                0.36413,                0.94898,                 0.9726,                0.94258,                0.98335,                0.88091,                0.50354,                0.27891,                0.89475,              0.0071963,              0.0071963,              0.0071963
                    148,                0.58732,                0.36364,                0.95081,                0.97753,                0.93586,                0.98225,                0.88036,                0.50744,                0.28081,                0.89754,               0.007177,               0.007177,               0.007177
                    149,                0.57652,                0.35877,                0.94179,                0.97714,                0.93994,                0.98212,                0.87946,                0.50586,                0.27565,                0.89611,              0.0071576,              0.0071576,              0.0071576
                    150,                0.58564,                0.36199,                0.95021,                0.97328,                0.94319,                 0.9819,                0.87822,                0.50314,                0.27554,                0.89442,              0.0071383,              0.0071383,              0.0071383
                    151,                0.57839,                0.35885,                0.94109,                0.96964,                0.95235,                0.98334,                0.87951,                0.50016,                0.27691,                0.89135,              0.0071189,              0.0071189,              0.0071189
                    152,                0.57713,                0.35633,                  0.944,                0.97144,                0.94685,                0.98299,                0.88065,                0.49967,                0.27522,                0.89005,              0.0070996,              0.0070996,              0.0070996
                    153,                 0.5822,                0.35768,                0.94471,                0.96634,                0.94693,                0.98274,                0.87945,                0.50222,                0.27664,                0.89077,              0.0070803,              0.0070803,              0.0070803
                    154,                 0.5742,                 0.3516,                0.94747,                0.96341,                  0.949,                0.98235,                0.87979,                0.49845,                0.27805,                0.88786,              0.0070609,              0.0070609,              0.0070609
                    155,                0.57007,                0.34936,                0.93908,                0.96541,                0.95052,                0.98286,                0.88183,                0.49984,                0.27883,                0.88966,              0.0070416,              0.0070416,              0.0070416
